Human	Location.ID	Fh	Du	Pwr
H114	L1	5	20	0
H114	L2	5	100	0
H115	L2	5	100	1
H116	L2	5	100	1
H117	L2	5	100	1
H118	L2	5	100	1
H119	L2	5	100	1
H120	L2	5	100	1
H121	L2	5	100	1
H122	L2	5	100	1
H123	L2	5	100	1
H124	L2	5	100	1
H125	L2	5	100	1
H126	L2	5	100	1
H127	L2	5	100	1
H128	L2	5	100	1
H129	L2	5	100	1
H130	L2	5	100	1
H131	L2	5	100	1
H132	L2	5	100	1
H133	L2	5	100	1
H134	L2	5	100	1
H135	L2	5	100	1
H136	L2	5	100	1
H137	L2	5	100	1
H138	L2	5	100	1
H139	L2	5	100	1
H140	L2	5	100	1
H141	L2	5	100	1
H142	L2	5	100	1
H143	L2	5	100	1
H144	L2	5	100	1
H145	L2	5	100	1
H146	L2	5	100	1
H147	L2	5	100	1
H148	L2	5	100	1
H149	L2	5	100	1
